Customer,Time,Event,Item1,Item2,Item3,Item4,Item5
1,1,3,pork,peppers,chicken,,
1,2,4,chicken,beer,ice_cream,olives,
1,3,2,pork,peppers,,,
1,4,4,baguette,fish,wine,ham,
2,1,5,soda,olives,beer,potato,peppers
2,2,2,baguette,fish,,,
3,1,3,soda,chicken,beer,,
3,2,2,fish,pork,,,
3,3,5,beef,peppers,chicken,fish,apples
4,1,2,wine,lobster,,,
4,2,5,fish,peppers,beef,ham,ice_cream
4,3,5,fish,pork,turkey,chicken,coke
5,1,2,avocado,cracker,,,
5,2,3,baguette,fish,beer,,
5,3,2,chicken,beer,,,
5,4,2,baguette,soda,,,
6,1,2,wine,lobster,,,
6,2,2,pork,peppers,,,
6,3,2,fish,beef,,,
7,1,3,olives,whiskey,ice_cream,,
7,2,3,pork,peppers,chicken,,
7,3,5,avocado,cracker,ham,fish,baguette
7,4,4,chicken,beer,ice_cream,beef,
8,1,2,olives,whiskey,,,
9,1,3,olives,whiskey,ice_cream,,
9,2,2,fish,pork,,,
9,3,2,olives,whiskey,,,
10,1,2,baguette,fish,,,
11,1,4,chicken,beer,ice_cream,avocado,
12,1,4,avocado,cracker,ham,fish,
12,2,2,wine,lobster,,,
12,3,4,fish,pork,turkey,coke,
13,1,3,soda,olives,beer,,
14,1,3,baguette,chicken,beer,,
14,2,5,soda,olives,beer,beef,fish
15,1,2,soda,olives,,,
16,1,4,soda,peppers,beer,potato,
16,2,4,chicken,beer,ice_cream,pork,
17,1,3,pork,peppers,chicken,,
17,2,4,olives,whiskey,ice_cream,potato,
17,3,3,avocado,cracker,ham,,
17,4,2,fish,beef,,,
18,1,2,olives,whiskey,,,
18,2,4,fish,pork,turkey,cracker,
18,3,5,fish,beef,chicken,whiskey,beer
19,1,2,baguette,soda,,,
20,1,4,olives,whiskey,ice_cream,apples,
20,2,3,soda,chicken,beer,,
21,1,2,avocado,cracker,,,
21,2,2,fish,pork,,,
22,1,4,fish,pork,beef,baguette,
23,1,3,fish,pork,beef,,
23,2,3,baguette,fish,beer,,
24,1,5,soda,peppers,beer,pork,fish
24,2,3,baguette,fish,wine,,
24,3,2,fish,beef,,,
24,4,3,soda,chicken,beer,,
25,1,2,fish,pork,,,
25,2,2,soda,olives,,,
26,1,2,baguette,soda,,,
27,1,3,baguette,lobster,avocado,,
27,2,2,pork,peppers,,,
28,1,4,fish,peppers,chicken,wine,
28,2,3,baguette,lobster,avocado,,
28,3,5,avocado,cracker,ham,pork,lobster
28,4,4,baguette,soda,beer,pork,
29,1,3,baguette,soda,beer,,
29,2,3,avocado,cracker,ham,,
30,1,3,soda,chicken,beer,,
30,2,4,fish,pork,beef,coke,
30,3,5,fish,pork,turkey,ice_cream,potato
31,1,3,fish,pork,turkey,,
31,2,2,wine,lobster,,,
31,3,2,olives,whiskey,,,
31,4,4,fish,beef,turkey,peppers,
31,5,3,soda,olives,cracker,,
32,1,4,fish,pork,beef,peppers,
32,2,2,baguette,fish,,,
33,1,4,chicken,beer,ice_cream,pork,
33,2,2,chicken,beer,,,
33,3,4,baguette,soda,beer,lobster,
33,4,4,baguette,lobster,avocado,turkey,
34,1,2,fish,pork,,,
34,2,2,olives,whiskey,,,
34,3,3,soda,chicken,beer,,
34,4,5,baguette,soda,cracker,olives,avocado
35,1,2,pork,peppers,,,
35,2,3,olives,whiskey,ice_cream,,
36,1,5,fish,pork,beef,baguette,chicken
37,1,4,beer,peppers,chicken,ice_cream,
38,1,5,chicken,beer,ice_cream,potato,beef
38,2,3,soda,olives,beer,,
38,3,4,baguette,lobster,avocado,cracker,
39,1,2,baguette,soda,,,
39,2,5,avocado,cracker,ham,beef,olives
39,3,4,baguette,soda,beer,ice_cream,
40,1,2,chicken,beer,,,
40,2,4,baguette,lobster,avocado,beef,
40,3,2,pork,peppers,,,
40,4,2,baguette,fish,,,
